iteration,oracle_average,neural_network_average,speedup_average,oracle_std,neural_network_std,speedup_std
0,0.9982476822,0.8720537165,1.8639837929,0.0000000000,0.0657635194,0.4681317352
1,0.9996003449,0.6522676187,4.5446352502,0.0000000000,0.3371349879,9.3488771832
2,0.9960822723,0.8391353015,1.5859318258,0.0000000000,0.1142730566,0.4244604289
3,0.9997943412,0.6258943942,2.4098859216,0.0000000000,0.3067787938,3.7594200003
4,0.9976527166,0.8241526879,1.7136855444,0.0000000000,0.1438726653,0.5460558360
5,0.9965303933,0.8654682828,1.7190943487,0.0000000000,0.0721211865,0.4347655922
6,0.9965913662,0.8476065463,1.7197129532,0.0000000000,0.0683731120,0.3181997268
7,0.9961127024,0.9001198340,1.9269546139,0.0000000000,0.0772334034,0.4208782553
8,0.9968451903,0.7402172899,1.4950706541,0.0000000000,0.1622837225,0.6021034555
9,0.9972188668,0.8622692924,1.7245749686,0.0000000000,0.0749133502,0.4418548333
10,0.9982140895,0.9313028904,1.9598624181,0.0000000000,0.0441875476,0.6766828492
11,0.9946860054,0.9077771873,1.9401821200,0.0000000000,0.0715356376,0.3466915733
12,0.9953748368,0.8346972363,1.9083853303,0.0000000000,0.1342523686,0.7869779996
13,0.9949364840,0.8290841254,1.8066861280,0.0000000000,0.0747292235,0.4070650691
14,0.9992788095,0.8485661715,4.5435478064,0.0000000000,0.2595530369,3.9266990489
15,0.9995832461,0.7628996408,3.0766659201,0.0000000000,0.1660231486,4.2446597450
16,0.9950613449,0.8243081224,1.6718368418,0.0000000000,0.0730734512,0.3640933943
17,0.9952714655,0.7871441315,1.7520941380,0.0000000000,0.0728215180,0.8406914806
18,0.9957982090,0.7969834642,1.6083748261,0.0000000000,0.1413760112,0.3607068430
19,0.9922905443,0.8785218899,1.8669287293,0.0000000000,0.1053567790,0.4393004925
20,0.9934028343,0.8462245027,1.8559787173,0.0000000000,0.0883879169,0.5037313285
21,0.9973758345,0.8237907185,1.5381579224,0.0000000000,0.0938557566,0.2005654020
22,0.9945705824,0.8681119802,1.7888017524,0.0000000000,0.0994278460,0.2877751054
23,0.9975907599,0.7915744831,1.4269679662,0.0000000000,0.1630618101,0.4040558522
24,0.9959557203,0.8123701956,1.5536577538,0.0000000000,0.1125236073,0.1498791173
25,0.9969787137,0.6681747667,1.6998233214,0.0000000000,0.1711108068,1.0396976057
26,0.9975492421,0.8348915313,1.7212108893,0.0000000000,0.1434781844,0.4598882579
27,0.9982385163,0.8449477616,2.0772974411,0.0000000000,0.1739956735,0.9631020042
28,0.9961947591,0.7344090826,1.5277235571,0.0000000000,0.1635810741,0.4520330004
29,0.9960608327,0.8461702540,1.5318989399,0.0000000000,0.0959687816,0.3903685375
30,0.9970951343,0.8636499867,1.7494514783,0.0000000000,0.1042745695,0.3813109627
31,0.9984191152,0.8784701050,1.8895292819,0.0000000000,0.1493422796,0.5313275820
32,0.9949331675,0.9109591407,1.7344463260,0.0000000000,0.0879803501,0.4099580613
33,0.9965901895,0.8856198007,1.7889608790,0.0000000000,0.1037061782,0.3196125964
34,0.9961481302,0.8265681289,1.7372619167,0.0000000000,0.1172782566,0.4614698657
35,0.9954173717,0.9086646926,1.9526099541,0.0000000000,0.0683252584,0.4315928387
36,0.9959211421,0.9353631488,1.9582982583,0.0000000000,0.0561688873,0.4127819750
37,0.9940390943,0.8930606628,1.9757460840,0.0000000000,0.0802801843,0.5329181624
38,0.9974376546,0.8710617181,2.0855733638,0.0000000000,0.0619879017,0.4738774195
39,0.9945132808,0.8898134354,1.8839326601,0.0000000000,0.1069506401,0.5047677955
40,0.9947168945,0.9323490253,2.1117500922,0.0000000000,0.0716362304,0.9389057371
41,0.9942003655,0.8533804719,1.7081535860,0.0000000000,0.1020832745,0.2928106389
42,0.9971981871,0.9022387035,1.7724602156,0.0000000000,0.0728324088,0.4317890490
43,0.9942517815,0.9322512536,2.0021398833,0.0000000000,0.0429593295,0.4672695333
