iteration,accuracy
0,0.7344413666,0.0230810709
1,0.7077562327,0.0192194444
2,0.7509695291,0.0280405454
3,0.7566020314,0.0135466851
4,0.7390581717,0.0191525646
5,0.7779316713,0.0148098014
6,0.7848568790,0.0231061759
7,0.7979686057,0.0055370875
8,0.7608494922,0.0193377462
9,0.7750692521,0.0192147859
10,0.7843951985,0.0261500344
11,0.7651892890,0.0221146413
12,0.7683287165,0.0135608386
13,0.7419205910,0.0127560915
14,0.7633425669,0.0163726779
15,0.7662973223,0.0109132525
16,0.7710064635,0.0086323146
17,0.7702882938,0.0105169320
18,0.7647481276,0.0281579794
19,0.8178926849,0.0106422920
20,0.7710064635,0.0218376999
21,0.8033240997,0.0237335520
22,0.7838309223,0.0104052446
23,0.7935775110,0.0178840469
24,0.7684415718,0.0109407592
25,0.7814712219,0.0168525686
26,0.8124551144,0.0093907269
27,0.7955268288,0.0301854526
28,0.8045552478,0.0087272680
29,0.7611572792,0.0334200574
30,0.7918333846,0.0311401099
31,0.8203549810,0.0200516145
32,0.7867036011,0.0092541067
33,0.7884477275,0.0077675154
34,0.7932697240,0.0093604143
35,0.7972709552,0.0067166871
36,0.8115317534,0.0118842814
37,0.7799322869,0.0272838907
38,0.8188160460,0.0178981668
39,0.7957320201,0.0096232333
40,0.8114291577,0.0109494145
41,0.7812660306,0.0139182664
42,0.8169693239,0.0105529011
43,0.8092746486,0.0155065474
44,0.7705960808,0.0184729196
45,0.7928593413,0.0084851023
46,0.8231250641,0.0146262714
47,0.8090694573,0.0165220445
48,0.7579768134,0.0244935211
49,0.8081460962,0.0149064130
50,0.8086590746,0.0104898742
51,0.8174823022,0.0081316373
52,0.7981943162,0.0098790628
53,0.7987072946,0.0100018940
54,0.8044526521,0.0077349243
55,0.7981943162,0.0114925470
56,0.7926541500,0.0147680757
57,0.7957320201,0.0136664211
58,0.8008618036,0.0158622330
59,0.7856776444,0.0127977561
60,0.7915255976,0.0114153533
61,0.8059915872,0.0076569645
62,0.7595157484,0.0176010640
63,0.8031189084,0.0091901901
64,0.8020929517,0.0156154520
65,0.7896788756,0.0297385899
66,0.8092746486,0.0161704577
67,0.8030163127,0.0061864424
68,0.8158407715,0.0105379289
69,0.8017851647,0.0117201802
70,0.8223042988,0.0097049214
71,0.8152251975,0.0100721572
72,0.7857802401,0.0109945036
73,0.7785985431,0.0183786621
74,0.8003488253,0.0212028294
75,0.7891658972,0.0150406793
76,0.8067097568,0.0144823519
77,0.7959372114,0.0161698068
78,0.8013747820,0.0133058318
79,0.7713142505,0.0422397726
80,0.8075305222,0.0179422200
81,0.7877295578,0.0259325652
82,0.8035292911,0.0110955214
83,0.8068123525,0.0221340500
84,0.8222017031,0.0093266180
85,0.8060941828,0.0192508412
86,0.8006566123,0.0207314348
87,0.8079409049,0.0131306427
88,0.8219965117,0.0092415866
89,0.7755206730,0.0196812620
90,0.8012721863,0.0105976908
91,0.8087616703,0.0115035324
92,0.7922437673,0.0094666399
93,0.8136862624,0.0053092640
94,0.8294859957,0.0111059517
95,0.8138914538,0.0113181208
96,0.7903970452,0.0187270123
97,0.8227146814,0.0125628388
98,0.8001436339,0.0112929828
99,0.8049656305,0.0119425944
100,0.8256899559,0.0114485000
101,0.8248691905,0.0088351493
102,0.7850620704,0.0142700214
103,0.8027085257,0.0204023557
104,0.7925515543,0.0162457904
105,0.8090694573,0.0110955214
106,0.8155329845,0.0118550174
107,0.7724428029,0.0142390076
108,0.8150200062,0.0154200986
109,0.7930645327,0.0107808476
110,0.7935775110,0.0228472980
111,0.7854724531,0.0140169868
112,0.7962449985,0.0128977081
113,0.8242536165,0.0104375654
114,0.7749050990,0.0202475096
115,0.8127629014,0.0132439845
116,0.8090694573,0.0115883161
117,0.8444649636,0.0158270241
118,0.6377346876,0.0119760397
119,0.6453267672,0.0124602009
120,0.6861598441,0.0195944301
121,0.7318149174,0.0149656104
122,0.7561300913,0.0150560676
123,0.6360931569,0.0158887540
124,0.7412537191,0.0231711816
125,0.7201190110,0.0161899739
126,0.6162921925,0.0245810320
127,0.7238124551,0.0166628761
128,0.7399199754,0.0233593918
129,0.6662562840,0.0168588133
130,0.6905714579,0.0148214352
131,0.6871858008,0.0175129337
132,0.7452549502,0.0234623535
133,0.6947778804,0.0178416201
