iteration,oracle_average,neural_network_average,speedup_average,oracle_std,neural_network_std,speedup_std
0,0.9982476822,0.7793336431,1.6838252269,0.0000000000,0.1109571665,0.5242612362
1,0.9996003449,0.7918160327,6.0591684775,0.0000000000,0.3051410866,9.7193377262
2,0.9960822723,0.7654732050,1.5671239723,0.0000000000,0.1237878845,0.3807888167
3,0.9997943412,0.7125576815,3.0018407103,0.0000000000,0.2385603578,5.8596405402
4,0.9976527166,0.7159827920,1.5955730193,0.0000000000,0.1713595923,0.7107963263
5,0.9965303933,0.8177628712,1.7282044556,0.0000000000,0.1086300220,0.4497428788
6,0.9965913662,0.8310270594,1.7221589571,0.0000000000,0.1184811348,0.5358418524
7,0.9961127024,0.8229418328,1.7814130690,0.0000000000,0.1029942460,0.4796716762
8,0.9968451903,0.7251171797,1.4991709508,0.0000000000,0.1444634514,0.4034011446
9,0.9972188668,0.8439509194,1.7750445576,0.0000000000,0.0942165833,0.5083695316
10,0.9982140895,0.8268442734,1.8266462231,0.0000000000,0.1409432816,0.8484433001
11,0.9946860054,0.8373268443,1.7287307450,0.0000000000,0.1156717009,0.4606345231
12,0.9953748368,0.8133645482,1.7964121014,0.0000000000,0.1331150529,0.6479789574
13,0.9949364840,0.8337662752,1.6581818891,0.0000000000,0.0889165824,0.3626365616
14,0.9992788095,0.7136345802,3.4100833799,0.0000000000,0.3353359056,4.5591312821
15,0.9995832461,0.7356706081,2.4095809685,0.0000000000,0.2364595565,2.9395020613
16,0.9950613449,0.7705650150,1.6224718945,0.0000000000,0.0985431770,0.3591958115
17,0.9952714655,0.7790130675,1.6353125939,0.0000000000,0.1211366349,0.5226425769
18,0.9957982090,0.8081074366,1.7787075413,0.0000000000,0.1147729157,0.5881614258
19,0.9922905443,0.8574041600,1.8921249122,0.0000000000,0.0880868506,0.5701258935
20,0.9934028343,0.8347173270,1.7182223528,0.0000000000,0.0734264506,0.3948454332
21,0.9973758345,0.8003598686,1.6698596599,0.0000000000,0.1105249048,0.3942232103
22,0.9945705824,0.8632252401,1.8407684015,0.0000000000,0.0830028223,0.4950686825
23,0.9975907599,0.7369315853,1.5425581926,0.0000000000,0.1798195251,0.5065624259
24,0.9959557203,0.8497195129,1.6994221416,0.0000000000,0.1230465181,0.5254029250
25,0.9969787137,0.7812198330,1.6902515130,0.0000000000,0.1779283110,0.6672838606
26,0.9975492421,0.8353982407,1.8474575183,0.0000000000,0.1400433972,0.6109832039
27,0.9982385163,0.8191191607,1.8513346677,0.0000000000,0.1969015354,0.7624426016
28,0.9961947591,0.7923418577,1.7928184441,0.0000000000,0.1660014189,0.7889146058
29,0.9960608327,0.7854474371,1.6972196670,0.0000000000,0.1316703964,0.4096001417
30,0.9970951344,0.8136568018,1.7093888105,0.0000000000,0.1224937729,0.4960979011
31,0.9984191152,0.7841878756,1.6691762738,0.0000000000,0.1696522871,0.6392945686
32,0.9949331675,0.8368960228,1.7898826901,0.0000000000,0.1195111530,0.5767648238
33,0.9965901895,0.7903793561,1.7301333188,0.0000000000,0.1673682361,0.7085043341
