iteration,accuracy
0,0.7027284811,0.0188366062
1,0.6814505900,0.0218329061
2,0.7177559283,0.0234762394
3,0.7365174069,0.0178014463
4,0.7137783731,0.0222820848
5,0.7346909785,0.0240658765
6,0.7621482857,0.0263846277
7,0.7675058091,0.0172769526
8,0.7360607998,0.0271887302
9,0.7635282538,0.0181881314
10,0.7739186022,0.0221382134
11,0.7613568334,0.0223590200
12,0.7507534017,0.0190740763
13,0.7296885940,0.0155345995
14,0.7532901079,0.0201699527
15,0.7490893225,0.0235578238
16,0.7629295912,0.0203501593
17,0.7595405518,0.0180152634
18,0.7609712540,0.0201170668
19,0.8027051434,0.0306583781
20,0.7618337341,0.0201075606
21,0.8059216868,0.0157955589
22,0.7798747882,0.0167137452
23,0.7931975688,0.0150523756
24,0.7647560196,0.0174949676
25,0.7765872170,0.0151951467
26,0.8054650797,0.0160812284
27,0.7876371090,0.0333357054
28,0.7936947632,0.0170518587
29,0.7582316114,0.0150808646
30,0.7962111757,0.0140258554
31,0.8100412976,0.0197290281
32,0.7739490426,0.0200104590
33,0.7805343318,0.0142343133
34,0.7814373992,0.0173926044
35,0.7875052002,0.0164734001
36,0.8024616196,0.0167097776
37,0.7926293466,0.0160760929
38,0.8084380993,0.0175100797
39,0.7870688868,0.0156447517
40,0.8052114091,0.0155967883
41,0.7780077725,0.0172978451
42,0.8151755908,0.0147345728
43,0.8057694844,0.0148511803
44,0.7744157966,0.0130609459
45,0.7890982517,0.0249527148
46,0.8220145505,0.0149755512
47,0.8088135318,0.0172844597
48,0.7636500157,0.0149273688
49,0.8137956227,0.0148750371
50,0.8106704007,0.0123987055
51,0.8167280550,0.0124601022
52,0.7947601798,0.0128237719
53,0.7993871318,0.0161718357
54,0.8059622741,0.0114304238
55,0.7964749932,0.0164271856
56,0.7991436080,0.0154957991
57,0.8004829888,0.0157017512
58,0.8113908252,0.0146456469
59,0.7895751525,0.0087044616
60,0.7988899374,0.0155861567
61,0.8077988494,0.0136832854
62,0.7809807921,0.0232795268
63,0.8055766948,0.0133261921
64,0.8089454405,0.0119152843
65,0.8031617505,0.0126075346
66,0.8196199000,0.0142589712
67,0.8110458332,0.0141971663
68,0.8257587288,0.0115209854
69,0.8130853449,0.0145817318
70,0.8241758242,0.0138818795
71,0.8195488722,0.0104763199
72,0.7856077441,0.0117563826
73,0.7830101570,0.0167323014
74,0.8103457023,0.0171164269
